time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1551909043.0979,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,1,-0.00864312541802
1551909043.1072,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,1,0.013384846257
1551909043.1177,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,1,-0.00159350339919
1551909043.1272,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.0,1,-0.000989573338125
1551909043.1376,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,1,-0.0156899852869
1551909043.1479,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,0.00881251247094
1551909043.1573,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,-0.00466211856827
1551909043.1675,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,0.000525178508633
1551909043.1778,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,-0.00284722696476
1551909043.1870,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,0.00480917714155
1551909043.1974,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,-0.0166316498344
1551909043.2078,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,-0.00347051350246
1551909043.2170,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,-0.00408076399502
1551909043.2273,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,-0.0199986022266
1551909043.2377,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,-0.0199997689573
1551909043.2480,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,0.00510310315574
1551909043.2573,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,-0.000714825860778
1551909043.2676,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,-0.0154165399342
1551909043.2779,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,0.0139735053846
1551909043.2873,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2400016785,1,-0.0129951326664
1551909043.2977,0,1,0,0,1,0.0,nan,0,0.0,57.2400016785,1,-0.00471531678768
1551909043.2986,1,1,0,40.0,1,0.0,nan,0,0.0,57.2400016785,1,-0.00471531678768
1551909043.3080,0,1,0,40.0,1,0.0,nan,0,0.0,57.2400016785,1,0.0142526146012
1551909043.3086,1,1,0,40.0,1,0.0,nan,0,0.0,57.2400016785,1,0.0142526146012
1551909043.3177,0,1,0,40.0,1,0.0,nan,0,0.0,57.2400016785,1,0.0106042512526
1551909043.3187,1,1,0,40.0,1,0.0,nan,0,0.0,57.2400016785,1,0.0106042512526
1551909043.3274,0,1,0,40.0,1,0.0,nan,0,0.0,57.2400016785,1,0.0329327301184
1551909043.3286,1,1,0,40.0,1,0.0,nan,0,0.0,57.2400016785,1,0.0329327301184
1551909043.3378,0,1,0,40.0,1,0.0,nan,0,0.0,57.2400016785,1,0.000151781923849
1551909043.3386,1,1,0,40.0,1,0.0,nan,0,0.0,57.2400016785,1,0.000151781923849
1551909043.3472,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.0163950679371
1551909043.3487,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.0163950679371
1551909043.3575,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00505481853594
1551909043.3586,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00505481853594
1551909043.3678,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00291057000894
1551909043.3687,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00291057000894
1551909043.3772,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0178943035307
1551909043.3786,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0178943035307
1551909043.3875,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.00227615430618
1551909043.3886,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.00227615430618
1551909043.3978,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0169762509341
1551909043.3986,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0169762509341
1551909043.4071,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00353645470655
1551909043.4086,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00353645470655
1551909043.4174,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00536077473978
1551909043.4186,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00536077473978
1551909043.4278,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0117991120386
1551909043.4286,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0117991120386
1551909043.4372,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00291964883823
1551909043.4386,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00291964883823
1551909043.4475,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0160824526136
1551909043.4486,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0160824526136
1551909043.4578,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.000460486545562
1551909043.4586,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.000460486545562
1551909043.4672,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0118159525372
1551909043.4686,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0118159525372
1551909043.4775,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.020672483049
1551909043.4786,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.020672483049
1551909043.4879,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.0111994135971
1551909043.4886,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.0111994135971
1551909043.4972,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00445628820125
1551909043.4986,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,-0.00445628820125
1551909043.5075,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0062756485724
1551909043.5087,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.0062756485724
1551909043.5180,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.000146644107811
1551909043.5186,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.000146644107811
1551909043.5274,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.00531497458949
1551909043.5286,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.00531497458949
1551909043.5377,0,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.00196381070712
1551909043.5387,1,1,0,40.0,1,0.0,nan,1,0.40000000596,0.0,1,0.00196381070712
1551909043.5472,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.0258499813769
1551909043.5486,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.0258499813769
1551909043.5576,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.0687233948822
1551909043.5586,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.0687233948822
1551909043.5680,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.131841276826
1551909043.5687,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.131841276826
1551909043.5773,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.156937036517
1551909043.5786,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.156937036517
1551909043.5877,0,1,0,40.0,1,0.0599999986589,nan,1,0.40000000596,0.0,1,0.185437934161
1551909043.5886,1,1,0,40.0,1,0.0599999986589,nan,1,0.40000000596,0.0,1,0.185437934161
1551909043.5973,0,1,0,40.0,1,0.0599999986589,nan,1,0.40000000596,0.0,1,0.213832307206
1551909043.5986,1,1,0,40.0,1,0.0599999986589,nan,1,0.40000000596,0.0,1,0.213832307206
1551909043.6076,0,1,0,40.0,1,0.0599999986589,nan,1,0.40000000596,0.0,1,0.243962947749
1551909043.6086,1,1,0,40.0,1,0.0599999986589,nan,1,0.40000000596,0.0,1,0.243962947749
1551909043.6180,0,1,0,40.0,1,0.0799999982119,nan,1,0.40000000596,0.0,1,0.19798306822
1551909043.6186,1,1,0,40.0,1,0.0799999982119,nan,1,0.40000000596,0.0,1,0.19798306822
1551909043.6274,0,1,0,40.0,1,0.0799999982119,nan,1,0.40000000596,0.0,1,0.211345427779
1551909043.6286,1,1,0,40.0,1,0.0799999982119,nan,1,0.40000000596,0.0,1,0.211345427779
1551909043.6377,0,1,0,40.0,1,0.0799999982119,nan,1,0.40000000596,0.0,1,0.203113984033
1551909043.6386,1,1,0,40.0,1,0.0799999982119,nan,1,0.40000000596,0.0,1,0.203113984033
1551909043.6481,0,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.164579350876
1551909043.6486,1,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.164579350876
1551909043.6574,0,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.146703212135
1551909043.6586,1,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.146703212135
1551909043.6678,0,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.0980456166832
1551909043.6686,1,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.0980456166832
1551909043.6771,0,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.0944006944963
1551909043.6786,1,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.0944006944963
1551909043.6874,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.0972983043107
1551909043.6886,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.0972983043107
1551909043.6978,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.113723160491
1551909043.6986,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.113723160491
1551909043.7070,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.116709619934
1551909043.7086,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.116709619934
1551909043.7176,0,1,0,40.0,1,0.00999999977648,nan,1,0.40000000596,0.0,1,0.142963756374
1551909043.7186,1,1,0,40.0,1,0.00999999977648,nan,1,0.40000000596,0.0,1,0.142963756374
1551909043.7280,0,1,0,40.0,1,0.00999999977648,nan,1,0.40000000596,0.0,1,0.18224389541
1551909043.7286,1,1,0,40.0,1,0.00999999977648,nan,1,0.40000000596,0.0,1,0.18224389541
1551909043.7374,0,1,0,40.0,1,0.00999999977648,nan,1,0.40000000596,0.0,1,0.143400235615
1551909043.7386,1,1,0,40.0,1,0.00999999977648,nan,1,0.40000000596,0.0,1,0.143400235615
1551909043.7478,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.155598679099
1551909043.7486,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.155598679099
1551909043.7572,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.146304360416
1551909043.7587,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.146304360416
1551909043.7675,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.152722252459
1551909043.7687,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.152722252459
1551909043.7778,0,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.155656312758
1551909043.7786,1,1,0,40.0,1,0.019999999553,nan,1,0.40000000596,0.0,1,0.155656312758
1551909043.7873,0,1,0,40.0,1,0.0299999993294,nan,1,0.40000000596,0.0,1,0.133349032239
1551909043.7887,1,1,0,40.0,1,0.0299999993294,nan,1,0.40000000596,0.0,1,0.133349032239
1551909043.7976,0,1,0,40.0,1,0.0299999993294,nan,1,0.40000000596,0.0,1,0.15453889244
1551909043.7986,1,1,0,40.0,1,0.0299999993294,nan,1,0.40000000596,0.0,1,0.15453889244
1551909043.8079,0,1,0,40.0,1,0.0299999993294,nan,1,0.40000000596,0.0,1,0.16406867574
1551909043.8086,1,1,0,40.0,1,0.0299999993294,nan,1,0.40000000596,0.0,1,0.16406867574
1551909043.8173,0,1,0,40.0,1,0.0399999991059,nan,1,0.40000000596,0.0,1,0.155135381791
1551909043.8186,1,1,0,40.0,1,0.0399999991059,nan,1,0.40000000596,0.0,1,0.155135381791
1551909043.8277,0,1,0,40.0,1,0.0399999991059,nan,1,0.40000000596,0.0,1,0.150463532735
1551909043.8287,1,1,0,40.0,1,0.0399999991059,nan,1,0.40000000596,0.0,1,0.150463532735
1551909043.8380,0,1,0,40.0,1,0.0399999991059,nan,1,0.40000000596,0.0,1,0.147363654792
1551909043.8386,1,1,0,40.0,1,0.0399999991059,nan,1,0.40000000596,0.0,1,0.147363654792
1551909043.8474,0,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.181373282481
1551909043.8486,1,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.181373282481
1551909043.8578,0,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.187534948404
1551909043.8586,1,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.187534948404
1551909043.8681,0,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.187262804502
1551909043.8686,1,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.187262804502
1551909043.8775,0,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.17379391288
1551909043.8786,1,1,0,40.0,1,0.0500000007451,nan,1,0.40000000596,0.0,1,0.17379391288
1551909043.8879,0,1,0,40.0,1,0.0599999986589,nan,1,0.40000000596,0.0,1,0.156684404644
1551909043.8886,1,1,0,40.0,1,0.0599999986589,nan,1,0.40000000596,0.0,1,0.156684404644
1551909043.8972,0,1,0,40.0,1,0.0599999986589,nan,1,0.40000000596,0.0,1,0.137388340743
1551909043.8986,1,1,0,40.0,1,0.0599999986589,nan,1,0.40000000596,0.0,1,0.137388340743
