time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1551909177.2173,0,1,50.0,0,1,0.0,nan,1,0.0,0.5,1,-0.00171973948316
1551909177.2277,0,1,50.0,0,1,0.0,nan,1,0.0,0.5,1,0.00137774438299
1551909177.2380,0,1,50.0,0,1,0.0,nan,1,0.0,0.5,1,0.0160540637458
1551909177.2473,0,1,50.0,0,1,0.0,nan,0,0.0,0.5,1,0.00231390257027
1551909177.2577,0,1,50.0,0,1,0.0,nan,0,0.0,0.5,1,0.00230472436306
1551909177.2681,0,1,50.0,0,1,0.0,nan,0,0.0,57.15599823,1,-0.00500513725531
1551909177.2774,0,1,50.0,0,1,0.0,nan,0,0.0,57.15599823,1,0.0218952386491
1551909177.2879,0,1,50.0,0,1,0.0,nan,0,0.0,57.15599823,1,-0.00623977768349
1551909177.2972,0,1,50.0,0,1,0.0,nan,0,0.0,57.1619987488,1,-0.0239497188408
1551909177.3075,0,1,50.0,0,1,0.0,nan,0,0.0,57.1619987488,1,-0.0239497188408
1551909177.3180,0,1,50.0,0,1,0.0,nan,0,0.0,57.1619987488,1,-0.0245694548685
1551909177.3273,0,1,50.0,0,1,0.0,nan,0,0.0,57.1619987488,1,-0.0172098678622
1551909177.3377,0,1,50.0,0,1,0.0,nan,0,0.0,57.1710014343,1,-0.0172098678622
1551909177.3480,0,1,50.0,0,1,0.0,nan,0,0.0,57.1710014343,1,0.00149087044422
1551909177.3573,0,1,50.0,0,1,0.0,nan,0,0.0,57.1710014343,1,-0.0253861796039
1551909177.3677,0,1,50.0,0,1,0.0,nan,0,0.0,57.1769981384,1,-0.0330032138751
1551909177.3780,0,1,50.0,0,1,0.0,nan,0,0.0,57.1769981384,1,-0.0332392130079
1551909177.3873,0,1,50.0,0,1,0.0,nan,0,0.0,57.1769981384,1,-0.00534653921545
1551909177.3977,0,1,50.0,0,1,0.0,nan,0,0.0,57.1839981079,1,-0.00534653921545
1551909177.4080,0,1,50.0,0,1,0.0,nan,0,0.0,57.1839981079,1,0.00300100081373
1551909177.4174,0,1,0,0,1,0.0,nan,0,0.0,57.1839981079,1,-0.0192679259413
1551909177.4212,1,1,60.0,0,1,0.0,nan,0,0.0,57.1839981079,1,-0.0192679259413
