time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1551909202.8681,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.600000023842,1,-0.00478712617566
1551909202.8774,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.600000023842,1,0.00559755473695
1551909202.8878,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.600000023842,1,-0.00938826853008
1551909202.8971,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.600000023842,1,-0.0084703948152
1551909202.9075,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.600000023842,5,-0.0066223937148
1551909202.9180,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1399993896,5,0.000720444055493
1551909202.9274,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1399993896,5,-0.0136660939474
1551909202.9377,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1459999084,1,-0.0179128417428
1551909202.9471,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1459999084,1,-0.0161107183489
1551909202.9576,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1459999084,1,-0.00267882024721
1551909202.9679,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1590003967,1,-0.0258806103069
1551909202.9772,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1590003967,1,-0.032842494443
1551909202.9876,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1590003967,1,-0.0533339409939
1551909202.9981,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1590003967,1,-0.0618625830183
1551909203.0074,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1710014343,1,-0.0554278506281
1551909203.0177,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1710014343,1,-0.0932840833511
1551909203.0281,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1710014343,1,-0.0608724688894
1551909203.0375,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1790008545,1,-0.0767674356522
1551909203.0478,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1790008545,1,-0.0871400149206
1551909203.0573,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1790008545,1,-0.0806917704489
1551909203.0677,0,1,0,0,1,0.0,nan,0,0.0,57.1790008545,1,-0.0883642891298
1551909203.0686,1,1,0,50.0,1,0.0,nan,0,0.0,57.1790008545,1,-0.0883642891298
1551909203.0780,0,1,0,50.0,1,0.0,nan,0,0.0,57.1870002747,1,-0.0801284320696
1551909203.0786,1,1,0,50.0,1,0.0,nan,0,0.0,57.1870002747,1,-0.0801284320696
1551909203.0874,0,1,0,50.0,1,0.0,nan,0,0.0,57.1870002747,1,-0.0810528354399
1551909203.0886,1,1,0,50.0,1,0.0,nan,0,0.0,57.1870002747,1,-0.0810528354399
1551909203.0977,0,1,0,50.0,1,0.0,nan,0,0.0,57.1870002747,1,-0.0688898607726
1551909203.0986,1,1,0,50.0,1,0.0,nan,0,0.0,57.1870002747,1,-0.0688898607726
1551909203.1071,0,1,0,50.0,1,0.0,nan,0,0.0,57.1930007935,1,-0.0845686947812
1551909203.1086,1,1,0,50.0,1,0.0,nan,0,0.0,57.1930007935,1,-0.0845686947812
1551909203.1175,0,1,0,50.0,1,0.0,nan,0,0.0,57.1930007935,1,-0.0840054146619
1551909203.1186,1,1,0,50.0,1,0.0,nan,0,0.0,57.1930007935,1,-0.0840054146619
1551909203.1280,0,1,0,50.0,1,0.0,nan,0,0.0,57.1930007935,1,-0.0702983674236
1551909203.1286,1,1,0,50.0,1,0.0,nan,0,0.0,57.1930007935,1,-0.0702983674236
1551909203.1375,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0620597948036
1551909203.1386,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0620597948036
1551909203.1480,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0349006210888
1551909203.1486,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0349006210888
1551909203.1573,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0584941343524
1551909203.1586,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0584941343524
1551909203.1678,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0319307806265
1551909203.1686,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0319307806265
1551909203.1772,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0393271284607
1551909203.1786,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0393271284607
