time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1551909144.1573,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.00551336289206
1551909144.1676,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.055129324093
1551909144.1780,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.00525452883569
1551909144.1873,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.0312137423683
1551909144.1977,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,0.0318394356307
1551909144.2080,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,0.0391575909555
1551909144.2173,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.0101352068528
1551909144.2276,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.014402859656
1551909144.2380,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,0.0468143242874
1551909144.2473,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.0312814215034
1551909144.2576,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.0334295488739
1551909144.2679,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.0019086607284
1551909144.2772,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,0.0259328034048
1551909144.2875,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,0.0415762128748
1551909144.2978,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,0.035467553207
1551909144.3081,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,0.00853307639952
1551909144.3176,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.0125991852214
1551909144.3272,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.0125991852214
1551909144.3375,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.0113689519908
1551909144.3479,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2309989929,1,-0.0012642570242
1551909144.3571,0,1,0,0,1,0.0,nan,0,0.0,57.2309989929,1,0.0244711256977
1551909144.3632,1,1,0,50.0,1,0.0,nan,0,0.0,57.2309989929,1,0.0244711256977
1551909144.3675,0,1,0,50.0,1,0.0,nan,0,0.0,57.2309989929,1,0.0324445147503
1551909144.3732,1,1,0,50.0,1,0.0,nan,0,0.0,57.2309989929,1,0.0324445147503
1551909144.3779,0,1,0,50.0,1,0.0,nan,0,0.0,57.2309989929,1,0.0180655559705
1551909144.3832,1,1,0,50.0,1,0.0,nan,0,0.0,57.2309989929,1,0.0180655559705
1551909144.3872,0,1,0,50.0,1,0.0,nan,0,0.0,57.2309989929,1,0.0180655559705
1551909144.3932,1,1,0,50.0,1,0.0,nan,0,0.0,57.2309989929,1,0.0180655559705
1551909144.3975,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0202320745531
1551909144.4032,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0202320745531
1551909144.4079,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0217305931533
1551909144.4132,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0217305931533
1551909144.4174,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0107238132914
1551909144.4232,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0107238132914
1551909144.4280,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0201804670694
1551909144.4332,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0201804670694
1551909144.4375,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0134462606039
1551909144.4432,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0134462606039
1551909144.4481,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0149920685928
1551909144.4532,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0149920685928
1551909144.4576,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0131695380946
1551909144.4632,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0131695380946
1551909144.4679,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0382279939358
1551909144.4732,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0382279939358
1551909144.4772,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0202037593716
1551909144.4832,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0202037593716
1551909144.4877,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.00762215560047
