time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1551909402.4676,0,1,20.0,0,1,0.0,nan,1,0.0,0.20000000298,1,0.013741402034
1551909402.4780,0,1,20.0,0,1,0.0,nan,1,0.0,0.20000000298,1,-0.00883148431358
1551909402.4875,0,1,20.0,0,1,0.0,nan,0,0.0,0.20000000298,1,-0.0347397523944
1551909402.4978,0,1,20.0,0,1,0.0,nan,0,0.0,0.20000000298,1,0.00983403277268
1551909402.5071,0,1,20.0,0,1,0.0,nan,0,0.0,57.2050018311,1,0.0193048313623
1551909402.5174,0,1,20.0,0,1,0.0,nan,0,0.0,57.2050018311,1,-0.0124789451444
1551909402.5278,0,1,20.0,0,1,0.0,nan,0,0.0,57.2050018311,1,-0.0500286039534
1551909402.5373,0,1,20.0,0,1,0.0,nan,0,0.0,57.2099990845,1,-0.0497401190589
1551909402.5476,0,1,20.0,0,1,0.0,nan,0,0.0,57.2099990845,1,-0.0643538221342
1551909402.5579,0,1,20.0,0,1,0.0,nan,0,0.0,57.2099990845,1,-0.0643538221342
1551909402.5672,0,1,20.0,0,1,0.0,nan,0,0.0,57.2099990845,1,-0.0716910555417
1551909402.5775,0,1,20.0,0,1,0.0,nan,0,0.0,57.2140007019,1,-0.110394972445
1551909402.5880,0,1,20.0,0,1,0.0,nan,0,0.0,57.2140007019,1,-0.082478778717
1551909402.5973,0,1,20.0,0,1,0.0,nan,0,0.0,57.2140007019,1,-0.110205010354
1551909402.6077,0,1,20.0,0,1,0.0,nan,0,0.0,57.2179985046,1,-0.0457211494376
1551909402.6170,0,1,20.0,0,1,0.0,nan,0,0.0,57.2179985046,1,-0.0759374782857
1551909402.6276,0,1,20.0,0,1,0.0,nan,0,0.0,57.2179985046,1,-0.0734686003318
1551909402.6379,0,1,20.0,0,1,0.0,nan,0,0.0,57.2210006714,1,-0.073810061341
1551909402.6473,0,1,20.0,0,1,0.0,nan,0,0.0,57.2210006714,1,-0.0527532224672
1551909402.6577,0,1,20.0,0,1,0.0,nan,0,0.0,57.2210006714,1,-0.0457779572576
1551909402.6680,0,1,0,0,1,0.0,nan,0,0.0,57.2229995728,1,-0.0547595716454
1551909402.6721,1,1,20.0,0,1,0.0,nan,0,0.0,57.2229995728,1,-0.0547595716454
