x,y,z,theta,dist_l,conf_l,dist_r,conf_r
3352247.40214, 5074567.28002, 185.154000382, -3.10415719674, 2.5, -1, 2.5, -1
3352247.40214, 5074567.28002, 185.154000382, -3.10415719674, 2.5, -1, 2.5, -1
3352247.34474, 5074567.2526, 185.153421133, -3.10426133014, 2.5, -1, 2.5, -1
3352247.34474, 5074567.2526, 185.153421133, -3.10426133014, 2.5, -1, 2.5, -1
3352247.28714, 5074567.22523, 185.152957038, -3.10435986125, 2.5, -1, 2.5, -1
3352247.25833, 5074567.2115, 185.15262128, -3.10439023891, 2.5, -1, 2.5, -1
3352247.2006, 5074567.18398, 185.151957272, -3.10442423372, 2.5, -1, 2.5, -1
3352247.1717, 5074567.17018, 185.151650324, -3.10443067867, 2.5, -1, 2.5, -1
3352247.14277, 5074567.15636, 185.15135364, -3.1044337486, 2.5, -1, 2.5, -1
3352247.11383, 5074567.14251, 185.151064635, -3.10442820732, 2.5, -1, 2.5, -1
3352247.08488, 5074567.12864, 185.150846046, -3.10442409218, 2.5, -1, 2.5, -1
3352247.08488, 5074567.12864, 185.150846046, -3.10442409218, 2.5, -1, 2.5, -1
3352247.05594, 5074567.11479, 185.150624525, -3.10441558823, 2.5, -1, 2.5, -1
3352246.99806, 5074567.08711, 185.150339531, -3.10442587167, 2.5, -1, 2.5, -1
3352246.99806, 5074567.08711, 185.150339531, -3.10442587167, 2.5, -1, 2.5, -1
3352246.94018, 5074567.05954, 185.15016303, -3.10448807602, 2.5, -1, 2.5, -1
3352246.91132, 5074567.04573, 185.149919769, -3.10453092239, 2.5, -1, 2.5, -1
3352246.91132, 5074567.04573, 185.149919769, -3.10453092239, 2.5, -1, 2.5, -1
3352246.8533, 5074567.01842, 185.149931242, -3.10463204747, 2.5, -1, 2.5, -1
3352246.8243, 5074567.00475, 185.149854494, -3.10469305174, 2.5, -1, 2.5, -1
3352246.8243, 5074567.00475, 185.149854494, -3.10469305174, 2.5, -1, 2.5, -1
3352246.76621, 5074566.97739, 185.149642195, -3.10483398519, 2.5, -1, 2.5, -1
3352246.76621, 5074566.97739, 185.149642195, -3.10483398519, 2.5, -1, 2.5, -1
3352246.708, 5074566.95003, 185.149304409, -3.10496609075, 2.5, -1, 2.5, -1
3352246.67885, 5074566.93631, 185.149092701, -3.10501297145, 2.5, -1, 2.5, -1
3352246.64966, 5074566.92262, 185.148938705, -3.10507116682, 2.5, -1, 2.5, -1
3352246.62034, 5074566.90902, 185.148985074, -3.10512632544, 2.5, -1, 2.5, -1
3352246.59104, 5074566.89541, 185.148892266, -3.1051692885, 2.5, -1, 2.5, -1
3352246.56175, 5074566.88181, 185.148868454, -3.10519126551, 2.5, -1, 2.5, -1
3352246.53247, 5074566.8682, 185.14872857, -3.10521179293, 2.5, -1, 2.5, -1
3352246.50315, 5074566.85464, 185.148677566, -3.10523765384, 2.5, -1, 2.5, -1
3352246.47387, 5074566.84106, 185.148536994, -3.10526991553, 2.5, -1, 2.5, -1
3352246.47387, 5074566.84106, 185.148536994, -3.10526991553, 2.5, -1, 2.5, -1
3352246.41524, 5074566.81399, 185.148332082, -3.10533306237, 2.5, -1, 2.5, -1
3352246.38591, 5074566.80047, 185.148234714, -3.10535972881, 2.5, -1, 2.5, -1
3352246.35653, 5074566.78698, 185.148189622, -3.1053867361, 2.5, -1, 2.5, -1
3352246.32718, 5074566.77343, 185.148061208, -3.10542013315, 2.5, -1, 2.5, -1
3352246.32718, 5074566.77343, 185.148061208, -3.10542013315, 2.5, -1, 2.5, -1
3352246.26834, 5074566.74636, 185.147949765, -3.10551521718, 2.5, -1, 2.5, -1
3352246.2389, 5074566.7328, 185.14787395, -3.10555847201, 2.5, -1, 2.5, -1
3352246.1506, 5074566.69197, 185.147642562, -3.10578427231, 2.5, -1, 2.5, -1
3352246.09211, 5074566.66451, 185.147262031, -3.10594399251, 2.5, -1, 2.5, -1
3352246.09211, 5074566.66451, 185.147262031, -3.10594399251, 2.5, -1, 2.5, -1
3352246.06317, 5074566.65057, 185.146781207, -3.10600095075, 2.5, -1, 2.5, -1
3352246.03398, 5074566.63682, 185.146659938, -3.10608919152, 2.5, -1, 2.5, -1
3352246.00494, 5074566.62297, 185.146380012, -3.10618040771, 2.5, -1, 2.5, -1
3352245.97591, 5074566.60913, 185.146111603, -3.10627184335, 2.5, -1, 2.5, -1
3352245.94688, 5074566.59529, 185.145851315, -3.10636035593, 2.5, -1, 2.5, -1
3352245.91785, 5074566.58147, 185.145626784, -3.10644347929, 2.5, -1, 2.5, -1
3352245.88894, 5074566.56757, 185.145241149, -3.10653389741, 2.5, -1, 2.5, -1
3352245.8599, 5074566.55378, 185.145021186, -3.10661605964, 2.5, -1, 2.5, -1
3352245.83085, 5074566.54002, 185.144808557, -3.10669622245, 2.5, -1, 2.5, -1
3352245.83085, 5074566.54002, 185.144808557, -3.10669622245, 2.5, -1, 2.5, -1
3352245.77259, 5074566.51266, 185.144586123, -3.10684062942, 2.5, -1, 2.5, -1
3352245.74352, 5074566.49895, 185.1444118, -3.10691352042, 2.5, -1, 2.5, -1
3352245.71446, 5074566.48524, 185.144221828, -3.10697602186, 2.5, -1, 2.5, -1
3352245.6854, 5074566.47155, 185.144041685, -3.10702998021, 2.5, -1, 2.5, -1
3352245.6854, 5074566.47155, 185.144041685, -3.10702998021, 2.5, -1, 2.5, -1
3352245.62734, 5074566.44417, 185.143669095, -3.10711195773, 2.5, -1, 2.5, -1
3352245.59847, 5074566.43039, 185.143328367, -3.10715728365, 2.5, -1, 2.5, -1
3352245.56949, 5074566.41671, 185.143147655, -3.10720760531, 2.5, -1, 2.5, -1
3352245.5404, 5074566.40312, 185.14314167, -3.10725626442, 2.5, -1, 2.5, -1
3352245.51148, 5074566.38945, 185.142946432, -3.1073094283, 2.5, -1, 2.5, -1
3352245.48259, 5074566.37579, 185.142732998, -3.107377242, 2.5, -1, 2.5, -1
3352245.45373, 5074566.36214, 185.142519886, -3.10744917406, 2.5, -1, 2.5, -1
3352245.42502, 5074566.34841, 185.142132285, -3.10753914125, 2.5, -1, 2.5, -1
3352245.39607, 5074566.33489, 185.142080301, -3.10763433953, 2.5, -1, 2.5, -1
3352245.36728, 5074566.32128, 185.141861729, -3.10772961246, 2.5, -1, 2.5, -1
3352245.30981, 5074566.29411, 185.141435651, -3.10794059364, 2.5, -1, 2.5, -1
3352245.30981, 5074566.29411, 185.141435651, -3.10794059364, 2.5, -1, 2.5, -1
3352245.28125, 5074566.28044, 185.141043442, -3.10804031419, 2.5, -1, 2.5, -1
3352245.25245, 5074566.26698, 185.140989285, -3.10814334151, 2.5, -1, 2.5, -1
3352245.22383, 5074566.25342, 185.140789046, -3.10824639479, 2.5, -1, 2.5, -1
3352245.22383, 5074566.25342, 185.140789046, -3.10824639479, 2.5, -1, 2.5, -1
3352245.13824, 5074566.21269, 185.139919979, -3.10853470548, 2.5, -1, 2.5, -1
3352245.13824, 5074566.21269, 185.139919979, -3.10853470548, 2.5, -1, 2.5, -1
3352245.08111, 5074566.18575, 185.139591535, -3.10872214258, 2.5, -1, 2.5, -1
3352245.08111, 5074566.18575, 185.139591535, -3.10872214258, 2.5, -1, 2.5, -1
3352245.05266, 5074566.17225, 185.139330297, -3.10880820892, 2.5, -1, 2.5, -1
3352245.02424, 5074566.15878, 185.139085686, -3.1088896073, 2.5, -1, 2.5, -1
3352244.99585, 5074566.14532, 185.138834226, -3.10895720385, 2.5, -1, 2.5, -1
3352244.9675, 5074566.13189, 185.138602811, -3.10902353705, 2.5, -1, 2.5, -1
3352244.93918, 5074566.11848, 185.138369885, -3.10909177078, 2.5, -1, 2.5, -1
3352244.91089, 5074566.10508, 185.138138548, -3.10916264348, 2.5, -1, 2.5, -1
3352244.8544, 5074566.07838, 185.137684139, -3.1092906197, 2.5, -1, 2.5, -1
3352244.8544, 5074566.07838, 185.137684139, -3.1092906197, 2.5, -1, 2.5, -1
3352244.79817, 5074566.05168, 185.137017605, -3.10943598494, 2.5, -1, 2.5, -1
3352244.79817, 5074566.05168, 185.137017605, -3.10943598494, 2.5, -1, 2.5, -1
3352244.77004, 5074566.03841, 185.136739565, -3.10951114422, 2.5, -1, 2.5, -1
3352244.71379, 5074566.01208, 185.136279223, -3.10968912405, 2.5, -1, 2.5, -1
3352244.71379, 5074566.01208, 185.136279223, -3.10968912405, 2.5, -1, 2.5, -1
3352244.68596, 5074565.99882, 185.135823865, -3.10977061231, 2.5, -1, 2.5, -1
3352244.65804, 5074565.98569, 185.135524851, -3.10986131518, 2.5, -1, 2.5, -1
3352244.63005, 5074565.97266, 185.135410699, -3.109949444, 2.5, -1, 2.5, -1
3352244.57445, 5074565.94644, 185.134858836, -3.11010590997, 2.5, -1, 2.5, -1
3352244.57445, 5074565.94644, 185.134858836, -3.11010590997, 2.5, -1, 2.5, -1
3352244.54684, 5074565.93325, 185.13442366, -3.1101672674, 2.5, -1, 2.5, -1
3352244.519, 5074565.92027, 185.134307078, -3.11023557967, 2.5, -1, 2.5, -1
3352244.49131, 5074565.9072, 185.133994636, -3.11030826136, 2.5, -1, 2.5, -1
3352244.46365, 5074565.89415, 185.133682729, -3.11036091427, 2.5, -1, 2.5, -1
3352244.43599, 5074565.88112, 185.133319027, -3.11042495245, 2.5, -1, 2.5, -1
3352244.40837, 5074565.86809, 185.132931699, -3.11047003703, 2.5, -1, 2.5, -1
3352244.38088, 5074565.85499, 185.132376093, -3.1105323004, 2.5, -1, 2.5, -1
3352244.35314, 5074565.8421, 185.132119318, -3.11058814016, 2.5, -1, 2.5, -1
3352244.32556, 5074565.82913, 185.131706039, -3.11064383407, 2.5, -1, 2.5, -1
3352244.298, 5074565.81619, 185.131229675, -3.1107112043, 2.5, -1, 2.5, -1
3352244.2706, 5074565.80319, 185.130581828, -3.11076346872, 2.5, -1, 2.5, -1
3352244.24306, 5074565.7903, 185.130099172, -3.11082109536, 2.5, -1, 2.5, -1
3352244.21553, 5074565.77745, 185.129593264, -3.1108825213, 2.5, -1, 2.5, -1
3352244.18788, 5074565.76471, 185.129271711, -3.11093785461, 2.5, -1, 2.5, -1
3352244.16038, 5074565.75192, 185.128755824, -3.11100559481, 2.5, -1, 2.5, -1
3352244.13304, 5074565.73906, 185.128073395, -3.11107964302, 2.5, -1, 2.5, -1
3352244.10558, 5074565.72633, 185.127543051, -3.11114778312, 2.5, -1, 2.5, -1
3352244.07815, 5074565.71363, 185.127026242, -3.11122709869, 2.5, -1, 2.5, -1
3352244.05074, 5074565.70096, 185.126528487, -3.11129625043, 2.5, -1, 2.5, -1
3352244.02322, 5074565.68839, 185.126212868, -3.11136787379, 2.5, -1, 2.5, -1
3352243.99587, 5074565.67574, 185.125748016, -3.11144020132, 2.5, -1, 2.5, -1
3352243.96853, 5074565.6631, 185.125292467, -3.11151478925, 2.5, -1, 2.5, -1
3352243.94123, 5074565.65048, 185.124849606, -3.11157912551, 2.5, -1, 2.5, -1
3352243.91397, 5074565.63785, 185.124393034, -3.11162786647, 2.5, -1, 2.5, -1
3352243.88674, 5074565.62522, 185.123965829, -3.111670498, 2.5, -1, 2.5, -1
3352243.85954, 5074565.61257, 185.123547629, -3.11171345416, 2.5, -1, 2.5, -1
3352243.83251, 5074565.59982, 185.122961677, -3.11175679573, 2.5, -1, 2.5, -1
3352243.80514, 5074565.58733, 185.122871011, -3.1118054766, 2.5, -1, 2.5, -1
3352243.72328, 5074565.54979, 185.122455664, -3.11197549643, 2.5, -1, 2.5, -1
3352243.72328, 5074565.54979, 185.122455664, -3.11197549643, 2.5, -1, 2.5, -1
3352243.72328, 5074565.54979, 185.122455664, -3.11197549643, 2.5, -1, 2.5, -1
3352243.69607, 5074565.53727, 185.12227496, -3.11205364438, 2.5, -1, 2.5, -1
3352243.66884, 5074565.52481, 185.122169578, -3.11213883429, 2.5, -1, 2.5, -1
3352243.64165, 5074565.51233, 185.122020729, -3.11223351352, 2.5, -1, 2.5, -1
3352243.61448, 5074565.49989, 185.121897296, -3.11231051807, 2.5, -1, 2.5, -1
3352243.58735, 5074565.48748, 185.121794307, -3.11239320577, 2.5, -1, 2.5, -1
3352243.53321, 5074565.46271, 185.121639714, -3.11256005511, 2.5, -1, 2.5, -1
3352243.53321, 5074565.46271, 185.121639714, -3.11256005511, 2.5, -1, 2.5, -1
3352243.50625, 5074565.45035, 185.121574391, -3.11261460755, 2.5, -1, 2.5, -1
3352243.47931, 5074565.43802, 185.121555383, -3.11267993803, 2.5, -1, 2.5, -1
3352243.45239, 5074565.42573, 185.121599174, -3.11274738501, 2.5, -1, 2.5, -1
3352243.42557, 5074565.41343, 185.121593822, -3.11280371246, 2.5, -1, 2.5, -1
3352243.39875, 5074565.40116, 185.121615574, -3.11284890218, 2.5, -1, 2.5, -1
3352243.37196, 5074565.38891, 185.121640988, -3.11289882041, 2.5, -1, 2.5, -1
3352243.34521, 5074565.37668, 185.121661437, -3.11295918884, 2.5, -1, 2.5, -1
3352243.31856, 5074565.36437, 185.121549091, -3.11299479142, 2.5, -1, 2.5, -1
3352243.29192, 5074565.35209, 185.121457405, -3.11304249965, 2.5, -1, 2.5, -1
3352243.2654, 5074565.33971, 185.121162537, -3.11309342274, 2.5, -1, 2.5, -1
3352243.2389, 5074565.32735, 185.120886704, -3.11314802151, 2.5, -1, 2.5, -1
3352243.21242, 5074565.31498, 185.120559359, -3.11319746559, 2.5, -1, 2.5, -1
3352243.18606, 5074565.30253, 185.120057963, -3.11325231827, 2.5, -1, 2.5, -1
3352243.15954, 5074565.29031, 185.119888446, -3.1133119377, 2.5, -1, 2.5, -1
3352243.13314, 5074565.27799, 185.119511213, -3.11337754059, 2.5, -1, 2.5, -1
3352243.10676, 5074565.26569, 185.119141002, -3.11344316324, 2.5, -1, 2.5, -1
3352243.08039, 5074565.25341, 185.118734154, -3.11345834999, 2.5, -1, 2.5, -1
3352243.05402, 5074565.24117, 185.118346747, -3.1135265985, 2.5, -1, 2.5, -1
3352243.02767, 5074565.22896, 185.117944556, -3.11359779356, 2.5, -1, 2.5, -1
3352243.02767, 5074565.22896, 185.117944556, -3.11359779356, 2.5, -1, 2.5, -1
3352242.97499, 5074565.20464, 185.117131761, -3.11374522384, 2.5, -1, 2.5, -1
3352242.94867, 5074565.19251, 185.116734581, -3.11380128287, 2.5, -1, 2.5, -1
3352242.92237, 5074565.18042, 185.116295374, -3.11387655734, 2.5, -1, 2.5, -1
3352242.89609, 5074565.16833, 185.115923809, -3.1139581869, 2.5, -1, 2.5, -1
3352242.86981, 5074565.15627, 185.115480782, -3.11401533735, 2.5, -1, 2.5, -1
3352242.84358, 5074565.14423, 185.115104644, -3.11408522406, 2.5, -1, 2.5, -1
3352242.81747, 5074565.13208, 185.114588837, -3.11414158796, 2.5, -1, 2.5, -1
3352242.79122, 5074565.12016, 185.114355862, -3.11421618064, 2.5, -1, 2.5, -1
3352242.73901, 5074565.09613, 185.11370425, -3.11434104736, 2.5, -1, 2.5, -1
3352242.73901, 5074565.09613, 185.11370425, -3.11434104736, 2.5, -1, 2.5, -1
3352242.71303, 5074565.08403, 185.113278002, -3.11439300119, 2.5, -1, 2.5, -1
3352242.71303, 5074565.08403, 185.113278002, -3.11439300119, 2.5, -1, 2.5, -1
3352242.66094, 5074565.06015, 185.112862977, -3.11449097182, 2.5, -1, 2.5, -1
3352242.63509, 5074565.04805, 185.112457128, -3.11452351123, 2.5, -1, 2.5, -1
3352242.6092, 5074565.03605, 185.112206212, -3.11455361255, 2.5, -1, 2.5, -1
3352242.58328, 5074565.02416, 185.112118908, -3.1145893717, 2.5, -1, 2.5, -1
3352242.5575, 5074565.01214, 185.111866538, -3.1146210455, 2.5, -1, 2.5, -1
3352242.53179, 5074565.00013, 185.111664311, -3.11465329396, 2.5, -1, 2.5, -1
3352242.50613, 5074564.98812, 185.111439604, -3.11469400312, 2.5, -1, 2.5, -1
3352242.48051, 5074564.97613, 185.111224999, -3.11471615534, 2.5, -1, 2.5, -1
3352242.45501, 5074564.96405, 185.110888555, -3.1147766395, 2.5, -1, 2.5, -1
3352242.42946, 5074564.95209, 185.110696734, -3.11484235302, 2.5, -1, 2.5, -1
3352242.40385, 5074564.94027, 185.110662368, -3.11491689448, 2.5, -1, 2.5, -1
3352242.37834, 5074564.92837, 185.110445094, -3.11498517053, 2.5, -1, 2.5, -1
3352242.35284, 5074564.91651, 185.110229673, -3.11507549957, 2.5, -1, 2.5, -1
3352242.32743, 5074564.90459, 185.109864163, -3.11520580842, 2.5, -1, 2.5, -1
3352242.30187, 5074564.89292, 185.109771804, -3.11532880675, 2.5, -1, 2.5, -1
3352242.27639, 5074564.88118, 185.109510554, -3.11544406948, 2.5, -1, 2.5, -1
3352242.25092, 5074564.86949, 185.10924544, -3.11556094319, 2.5, -1, 2.5, -1
3352242.22547, 5074564.85782, 185.108936769, -3.11570116261, 2.5, -1, 2.5, -1
3352242.20012, 5074564.84606, 185.108472536, -3.11582308287, 2.5, -1, 2.5, -1
3352242.1747, 5074564.83442, 185.108109551, -3.11593874375, 2.5, -1, 2.5, -1
3352242.14923, 5074564.8229, 185.10786331, -3.11605023667, 2.5, -1, 2.5, -1
3352242.12385, 5074564.81126, 185.107440686, -3.11613110346, 2.5, -1, 2.5, -1
3352242.09852, 5074564.79962, 185.107005506, -3.11619748208, 2.5, -1, 2.5, -1
3352242.0732, 5074564.78797, 185.106514787, -3.11625191472, 2.5, -1, 2.5, -1
3352242.04792, 5074564.77633, 185.106045241, -3.11630492413, 2.5, -1, 2.5, -1
3352242.02266, 5074564.76467, 185.105543861, -3.11635030431, 2.5, -1, 2.5, -1
3352241.99743, 5074564.753, 185.10498441, -3.11635604438, 2.5, -1, 2.5, -1
3352241.97223, 5074564.74133, 185.104468534, -3.11638778268, 2.5, -1, 2.5, -1
3352241.94713, 5074564.72954, 185.103751892, -3.1164318029, 2.5, -1, 2.5, -1
3352241.92198, 5074564.71787, 185.103189657, -3.11646879318, 2.5, -1, 2.5, -1
3352241.89675, 5074564.7063, 185.102771416, -3.11650047265, 2.5, -1, 2.5, -1
3352241.87172, 5074564.69452, 185.102037606, -3.11654174249, 2.5, -1, 2.5, -1
3352241.84663, 5074564.68285, 185.101468819, -3.11660155635, 2.5, -1, 2.5, -1
3352241.82149, 5074564.67128, 185.101066241, -3.11666301801, 2.5, -1, 2.5, -1
3352241.79647, 5074564.65962, 185.100541357, -3.11672825202, 2.5, -1, 2.5, -1
3352241.77149, 5074564.64797, 185.100025355, -3.11681228237, 2.5, -1, 2.5, -1
3352241.74654, 5074564.63633, 185.099560086, -3.11688409365, 2.5, -1, 2.5, -1
3352241.72163, 5074564.62468, 185.099107191, -3.11698491085, 2.5, -1, 2.5, -1
3352241.69676, 5074564.61304, 185.098744802, -3.11710256953, 2.5, -1, 2.5, -1
3352241.67191, 5074564.60143, 185.098357139, -3.11723125721, 2.5, -1, 2.5, -1
3352241.64709, 5074564.58983, 185.09801137, -3.11736827114, 2.5, -1, 2.5, -1
3352241.62228, 5074564.57826, 185.097681149, -3.11750841891, 2.5, -1, 2.5, -1
3352241.5975, 5074564.56672, 185.097347685, -3.11767537512, 2.5, -1, 2.5, -1
3352241.57273, 5074564.55519, 185.097045156, -3.11782769358, 2.5, -1, 2.5, -1
3352241.54806, 5074564.54359, 185.096569172, -3.1179823293, 2.5, -1, 2.5, -1
3352241.52332, 5074564.53212, 185.096230873, -3.11813858152, 2.5, -1, 2.5, -1
3352241.49852, 5074564.52079, 185.096053113, -3.11829081525, 2.5, -1, 2.5, -1
3352241.4739, 5074564.50928, 185.095520299, -3.11843777158, 2.5, -1, 2.5, -1
3352241.44914, 5074564.498, 185.095288801, -3.11857253374, 2.5, -1, 2.5, -1
3352241.42447, 5074564.48666, 185.094883872, -3.1187023271, 2.5, -1, 2.5, -1
3352241.39989, 5074564.47526, 185.09430677, -3.11883572158, 2.5, -1, 2.5, -1
3352241.37525, 5074564.46398, 185.093856159, -3.11896280272, 2.5, -1, 2.5, -1
3352241.35055, 5074564.45284, 185.093515178, -3.11909746382, 2.5, -1, 2.5, -1
3352241.32594, 5074564.44163, 185.093047095, -3.11923255009, 2.5, -1, 2.5, -1
3352241.30135, 5074564.43045, 185.092528366, -3.11935458115, 2.5, -1, 2.5, -1
3352241.27676, 5074564.41931, 185.092004882, -3.11946803662, 2.5, -1, 2.5, -1
3352241.25218, 5074564.40818, 185.091455613, -3.11955638328, 2.5, -1, 2.5, -1
3352241.22756, 5074564.39715, 185.090959864, -3.11965699515, 2.5, -1, 2.5, -1
3352241.20291, 5074564.38622, 185.090596166, -3.11975487728, 2.5, -1, 2.5, -1
3352241.17829, 5074564.37528, 185.090154964, -3.11985181733, 2.5, -1, 2.5, -1
3352241.17829, 5074564.37528, 185.090154964, -3.11985181733, 2.5, -1, 2.5, -1
3352241.12902, 5074564.35356, 185.089390418, -3.12002856495, 2.5, -1, 2.5, -1
3352241.10443, 5074564.34273, 185.088999052, -3.1201250863, 2.5, -1, 2.5, -1
3352241.07987, 5074564.33192, 185.088641963, -3.12023458927, 2.5, -1, 2.5, -1
3352241.07987, 5074564.33192, 185.088641963, -3.12023458927, 2.5, -1, 2.5, -1
