time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1551909382.2073,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.300000011921,1,0.00619990087603
1551909382.2177,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.300000011921,1,0.0181075223445
1551909382.2280,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.300000011921,1,-0.00296419009614
1551909382.2374,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1879997253,1,-0.00296419009614
1551909382.2477,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1879997253,1,0.000400627326699
1551909382.2581,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1879997253,1,0.0174967002739
1551909382.2674,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.188999176,1,0.00620196926108
1551909382.2777,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.188999176,1,0.0134878634357
1551909382.2881,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.188999176,1,0.00581531811043
1551909382.2973,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.188999176,1,-0.0189414033708
1551909382.3076,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1910018921,1,-0.0351088428582
1551909382.3179,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1910018921,1,-0.0336109419077
1551909382.3272,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1910018921,1,-0.0323715698626
1551909382.3375,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1959991455,1,-0.0531080707898
1551909382.3478,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1959991455,1,-0.0367778204815
1551909382.3581,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1959991455,1,-0.0367778204815
1551909382.3675,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2000007629,1,-0.0306088499594
1551909382.3778,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2000007629,1,-0.0747817793209
1551909382.3881,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2000007629,1,-0.0894061094644
1551909382.3973,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2000007629,1,-0.058503524411
1551909382.4077,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2019996643,1,-0.0297795707559
1551909382.4180,0,1,0,0,1,0.0,nan,0,0.0,57.2019996643,1,-0.066147909436
1551909382.4184,1,1,0,50.0,1,0.0,nan,0,0.0,57.2019996643,1,-0.066147909436
1551909382.4273,0,1,0,50.0,1,0.0,nan,0,0.0,57.2019996643,1,-0.066147909436
1551909382.4283,1,1,0,50.0,1,0.0,nan,0,0.0,57.2019996643,1,-0.066147909436
1551909382.4377,0,1,0,50.0,1,0.0,nan,0,0.0,57.2050018311,1,-0.0499961541756
1551909382.4383,1,1,0,50.0,1,0.0,nan,0,0.0,57.2050018311,1,-0.0499961541756
1551909382.4483,1,1,0,50.0,1,0.0,nan,0,0.0,57.2050018311,1,-0.0524990495136
1551909382.4481,0,1,0,50.0,1,0.0,nan,0,0.0,57.2050018311,1,-0.0524990495136
1551909382.4580,0,1,0,50.0,1,0.0,nan,0,0.0,57.2050018311,1,-0.075125855459
1551909382.4584,1,1,0,50.0,1,0.0,nan,0,0.0,57.2050018311,1,-0.075125855459
1551909382.4674,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0666124978271
1551909382.4683,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0666124978271
1551909382.4778,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0642245518436
1551909382.4782,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0642245518436
1551909382.4871,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0577841414698
1551909382.4883,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0577841414698
1551909382.4974,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0577841414698
1551909382.4982,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0577841414698
1551909382.5077,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0470545919942
1551909382.5083,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0470545919942
1551909382.5180,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.047315887711
1551909382.5184,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.047315887711
1551909382.5274,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.035101885727
1551909382.5282,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.035101885727
1551909382.5379,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0062718368272
1551909382.5384,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0062718368272
1551909382.5471,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0062718368272
1551909382.5482,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0062718368272
1551909382.5573,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0193662690825
1551909382.5582,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0193662690825
1551909382.5677,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0221258720201
1551909382.5683,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0221258720201
1551909382.5772,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0175208030163
1551909382.5782,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0175208030163
