time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1551909478.5578,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.20000000298,1,0.0110697612527
1551909478.5671,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.20000000298,1,0.0110697612527
1551909478.5775,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.20000000298,1,-0.00541572287428
1551909478.5878,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.20000000298,1,-0.0105886425643
1551909478.5971,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2050018311,1,-0.00787946805654
1551909478.6074,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2050018311,1,0.00770977592597
1551909478.6177,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2050018311,1,0.000653332090017
1551909478.6280,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2089996338,1,0.0253052684033
1551909478.6373,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2089996338,1,0.0373028578429
1551909478.6477,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2089996338,1,0.0430815684746
1551909478.6572,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2089996338,1,0.0430815684746
1551909478.6675,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2140007019,1,0.0618661158841
1551909478.6778,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2140007019,1,0.0511737199664
1551909478.6881,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2140007019,1,0.0473831626843
1551909478.6973,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2179985046,1,0.078127114522
1551909478.7076,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2179985046,1,0.0662236670039
1551909478.7179,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2179985046,1,0.0540370420566
1551909478.7274,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2200012207,1,0.0589422497014
1551909478.7380,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2200012207,1,0.0531995500815
1551909478.7475,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2200012207,1,0.0358141054518
1551909478.7579,0,1,0,0,1,0.0,nan,0,0.0,57.2200012207,1,0.0624586432258
1551909478.7600,1,1,0,50.0,1,0.0,nan,0,0.0,57.2200012207,1,0.0624586432258
