time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1551909496.6978,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.300000011921,1,-0.0123314300004
1551909496.7071,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.300000011921,1,-0.0198677442495
1551909496.7176,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.300000011921,1,-0.00613065339797
1551909496.7279,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.300000011921,1,-0.00403768120002
1551909496.7373,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.300000011921,1,0.0166761707438
1551909496.7476,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.188999176,1,0.0328188128137
1551909496.7580,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.188999176,1,0.0398234450186
1551909496.7674,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.188999176,1,0.0943536950569
1551909496.7777,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1930007935,1,0.0453370270639
1551909496.7879,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1930007935,1,0.090250972105
1551909496.7972,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1930007935,1,0.106553404561
1551909496.8075,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1930007935,1,0.135483900376
1551909496.8179,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1969985962,1,0.189033841923
1551909496.8272,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1969985962,1,0.181505240287
1551909496.8376,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.1969985962,1,0.186981721495
1551909496.8471,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2019996643,1,0.164932459425
1551909496.8574,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2019996643,1,0.172231629758
1551909496.8678,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2019996643,1,0.149285145787
1551909496.8770,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2050018311,1,0.15416075665
1551909496.8880,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2050018311,1,0.178538855559
1551909496.8972,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2050018311,1,0.180992084079
1551909496.9075,0,1,0,0,1,0.0,nan,0,0.0,57.2050018311,1,0.162093331803
1551909496.9079,1,1,0,50.0,1,0.0,nan,0,0.0,57.2050018311,1,0.162093331803
1551909496.9178,0,1,0,50.0,1,0.0,nan,0,0.0,57.2070007324,1,0.145907791581
1551909496.9179,1,1,0,50.0,1,0.0,nan,0,0.0,57.2070007324,1,0.145907791581
1551909496.9273,0,1,0,50.0,1,0.0,nan,0,0.0,57.2070007324,1,0.109328692885
1551909496.9279,1,1,0,50.0,1,0.0,nan,0,0.0,57.2070007324,1,0.109328692885
1551909496.9377,0,1,0,50.0,1,0.0,nan,0,0.0,57.2070007324,1,0.1019829681
1551909496.9380,1,1,0,50.0,1,0.0,nan,0,0.0,57.2070007324,1,0.1019829681
1551909496.9471,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.11963441212
1551909496.9478,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.11963441212
1551909496.9575,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.11041795166
1551909496.9579,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.11041795166
1551909496.9679,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.106950119818
1551909496.9679,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.106950119818
1551909496.9773,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0944136179791
1551909496.9779,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0944136179791
1551909496.9876,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.105986110084
1551909496.9880,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.105986110084
1551909496.9981,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0843187060568
1551909496.9980,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0843187060568
1551909497.0074,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0974508813681
1551909497.0080,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0974508813681
1551909497.0179,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0922349193695
1551909497.0178,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0922349193695
1551909497.0279,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0598665721456
1551909497.0282,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0598665721456
1551909497.0377,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0741382015806
1551909497.0380,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,0.0741382015806
1551909497.0470,0,1,0,50.0,1,0.0500000007451,nan,1,0.5,0.0,1,0.0664781458231
1551909497.0479,1,1,0,50.0,1,0.0500000007451,nan,1,0.5,0.0,1,0.0664781458231
1551909497.0576,0,1,0,50.0,1,0.0500000007451,nan,1,0.5,0.0,1,0.0978547573682
1551909497.0579,1,1,0,50.0,1,0.0500000007451,nan,1,0.5,0.0,1,0.0978547573682
1551909497.0679,1,1,0,50.0,1,0.0500000007451,nan,1,0.5,0.0,1,0.0911717612884
1551909497.0680,0,1,0,50.0,1,0.0500000007451,nan,1,0.5,0.0,1,0.0911717612884
1551909497.0773,0,1,0,50.0,1,0.0799999982119,nan,1,0.5,0.0,1,0.0755606470116
1551909497.0779,1,1,0,50.0,1,0.0799999982119,nan,1,0.5,0.0,1,0.0755606470116
1551909497.0875,0,1,0,50.0,1,0.0799999982119,nan,1,0.5,0.0,1,0.0999173646883
1551909497.0879,1,1,0,50.0,1,0.0799999982119,nan,1,0.5,0.0,1,0.0999173646883
1551909497.0978,0,1,0,50.0,1,0.0799999982119,nan,1,0.5,0.0,1,0.0669949069913
1551909497.0980,1,1,0,50.0,1,0.0799999982119,nan,1,0.5,0.0,1,0.0669949069913
1551909497.1071,0,1,0,50.0,1,0.0799999982119,nan,1,0.5,0.0,1,0.0892097446972
1551909497.1079,1,1,0,50.0,1,0.0799999982119,nan,1,0.5,0.0,1,0.0892097446972
1551909497.1175,0,1,0,50.0,1,0.119999997318,nan,1,0.5,0.0,1,0.0837059414299
1551909497.1181,1,1,0,50.0,1,0.119999997318,nan,1,0.5,0.0,1,0.0837059414299
1551909497.1281,0,1,0,50.0,1,0.119999997318,nan,1,0.5,0.0,1,0.0934463348737
1551909497.1279,1,1,0,50.0,1,0.119999997318,nan,1,0.5,0.0,1,0.0934463348737
1551909497.1374,0,1,0,50.0,1,0.119999997318,nan,1,0.5,0.0,1,0.0647443164067
1551909497.1379,1,1,0,50.0,1,0.119999997318,nan,1,0.5,0.0,1,0.0647443164067
1551909497.1478,0,1,0,50.0,1,0.159999996424,nan,1,0.5,0.0,1,0.0788035804586
1551909497.1479,1,1,0,50.0,1,0.159999996424,nan,1,0.5,0.0,1,0.0788035804586
1551909497.1573,0,1,0,50.0,1,0.159999996424,nan,1,0.5,0.0,1,0.062927675945
1551909497.1579,1,1,0,50.0,1,0.159999996424,nan,1,0.5,0.0,1,0.062927675945
1551909497.1676,0,1,0,50.0,1,0.159999996424,nan,1,0.5,0.0,1,0.0729621029246
1551909497.1680,1,1,0,50.0,1,0.159999996424,nan,1,0.5,0.0,1,0.0729621029246
1551909497.1779,1,1,0,50.0,1,0.159999996424,nan,1,0.5,0.0,1,0.0851527135649
1551909497.1780,0,1,0,50.0,1,0.25,nan,1,0.5,0.0,1,0.0851527135649
1551909497.1874,0,1,0,50.0,1,0.25,nan,1,0.5,0.0,1,0.0747164190032
1551909497.1879,1,1,0,50.0,1,0.25,nan,1,0.5,0.0,1,0.0747164190032
1551909497.1978,0,1,0,50.0,1,0.25,nan,1,0.5,0.0,1,0.114353414907
1551909497.1979,1,1,0,50.0,1,0.25,nan,1,0.5,0.0,1,0.114353414907
1551909497.2079,1,1,0,50.0,1,0.25,nan,1,0.5,0.0,1,0.345325501268
1551909497.2081,0,1,0,50.0,1,0.25,nan,1,0.5,0.0,1,0.345325501268
1551909497.2176,0,1,0,50.0,1,0.439999997616,nan,1,0.5,0.0,1,0.460125959365
1551909497.2180,1,1,0,50.0,1,0.439999997616,nan,1,0.5,0.0,1,0.460125959365
1551909497.2274,0,1,0,50.0,1,0.439999997616,nan,1,0.5,0.0,1,0.925192216441
1551909497.2279,1,1,0,50.0,1,0.439999997616,nan,1,0.5,0.0,1,0.925192216441
1551909497.2379,0,1,0,50.0,1,0.439999997616,nan,1,0.5,0.0,1,0.983693487876
1551909497.2379,1,1,0,50.0,1,0.439999997616,nan,1,0.5,0.0,1,0.983693487876
1551909497.2473,0,1,0,50.0,1,0.469999998808,nan,1,0.5,0.0,1,0.884119042069
1551909497.2479,1,1,0,50.0,1,0.469999998808,nan,1,0.5,0.0,1,0.884119042069
1551909497.2578,0,1,0,50.0,1,0.469999998808,nan,1,0.5,0.0,1,0.99762296897
1551909497.2579,1,1,0,50.0,1,0.469999998808,nan,1,0.5,0.0,1,0.99762296897
1551909497.2679,0,1,0,50.0,1,0.469999998808,nan,1,0.5,0.0,1,0.957765260017
1551909497.2679,1,1,0,50.0,1,0.469999998808,nan,1,0.5,0.0,1,0.957765260017
1551909497.2774,0,1,0,50.0,1,0.15000000596,nan,1,0.5,0.0,1,0.746673991434
1551909497.2779,1,1,0,50.0,1,0.15000000596,nan,1,0.5,0.0,1,0.746673991434
