time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1551909951.0737,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.20000000298,1,-0.0336954461042
1551909951.0840,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.20000000298,1,0.0193566608666
1551909951.0944,0,1,0.0,0.0,0,0.0,nan,1,0.0,0.20000000298,1,0.0199399896886
1551909951.1037,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.20000000298,1,-0.00998416822207
1551909951.1140,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2039985657,1,-0.0325467588319
1551909951.1246,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2039985657,1,-0.0130009701453
1551909951.1340,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2060012817,0,-0.0361872794651
1551909951.1443,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2060012817,0,-0.0208967532741
1551909951.1535,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2060012817,0,-0.0461961761936
1551909951.1641,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2109985352,0,-0.0687482995848
1551909951.1745,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2109985352,0,-0.0522276073968
1551909951.1838,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2109985352,0,-0.0380845129249
1551909951.1941,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2109985352,0,-0.0667065881804
1551909951.2045,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2140007019,0,-0.041825201026
1551909951.2138,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2140007019,0,-0.0822708884899
1551909951.2242,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.2140007019,0,-0.0791222059093
1551909951.2338,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.216999054,0,-0.0724154970493
1551909951.2442,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.216999054,0,-0.053498343267
1551909951.2536,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.216999054,0,-0.042327255061
1551909951.2640,0,1,0.0,0.0,0,0.0,nan,0,0.0,57.21900177,0,-0.0457058016736
1551909951.2743,0,1,0,0,1,0.0,nan,0,0.0,57.21900177,0,-0.0249917409147
1551909951.2835,1,1,0,50.0,1,0.0,nan,0,0.0,57.21900177,0,-0.108153429156
1551909951.2837,0,1,0,50.0,1,0.0,nan,0,0.0,57.21900177,0,-0.108153429156
1551909951.2935,1,1,0,50.0,1,0.0,nan,0,0.0,57.21900177,0,-0.129857010568
1551909951.2940,0,1,0,50.0,1,0.0,nan,0,0.0,57.21900177,0,-0.129857010568
1551909951.3035,1,1,0,50.0,1,0.0,nan,0,0.0,57.21900177,0,-0.0942910012715
1551909951.3043,0,1,0,50.0,1,0.0,nan,0,0.0,57.2220001221,0,-0.0942910012715
1551909951.3135,0,1,0,50.0,1,0.0,nan,0,0.0,57.2220001221,0,-0.0785010228981
1551909951.3135,1,1,0,50.0,1,0.0,nan,0,0.0,57.2220001221,0,-0.0785010228981
1551909951.3235,1,1,0,50.0,1,0.0,nan,0,0.0,57.2220001221,0,-0.0690562310824
1551909951.3240,0,1,0,50.0,1,0.0,nan,0,0.0,57.2220001221,0,-0.0690562310824
1551909951.3335,1,1,0,50.0,1,0.0,nan,0,0.0,57.2220001221,0,-0.069651861237
1551909951.3344,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.069651861237
1551909951.3435,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0845535531556
1551909951.3437,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0845535531556
1551909951.3540,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0859716537065
1551909951.3534,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0859716537065
1551909951.3635,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0599487596675
1551909951.3645,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0599487596675
1551909951.3736,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.070233686583
1551909951.3738,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.070233686583
1551909951.3834,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0537373886574
1551909951.3843,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0537373886574
1551909951.3935,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0168009218676
1551909951.3935,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0168009218676
1551909951.4035,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0439831178523
1551909951.4039,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0439831178523
1551909951.4135,1,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0301945224627
1551909951.4142,0,1,0,50.0,1,0.0,nan,1,0.5,0.0,1,-0.0301945224627
